from,to,comm_from,comm_to
38128,87973,1,1
154237,84851,2,2
11483,52272,1,1
11483,34225,1,2
106933,158763,2,2
84985,139326,2,2
73021,168359,1,1
120520,66181,1,1
119196,159270,1,1
126854,167024,1,1
126854,6599,1,1
62221,98976,1,1
84985,168528,2,2
84985,46649,2,1
84985,114560,2,2
84985,11222,2,1
25720,91794,1,1
134306,174784,1,1
174788,84851,2,2
126206,46649,2,1
134306,174784,1,1
136724,158308,1,1
136724,46649,1,1
156963,75612,2,2
50471,45697,1,1
102601,58670,1,1
134306,174784,1,1
134306,119905,1,1
134306,36050,1,1
134306,156872,1,1
142805,46649,1,1
147232,58670,1,1
68375,107737,1,1
95663,163624,1,1
93891,114560,2,2
93891,11222,2,1
142805,93947,1,1
142805,46649,1,1
62221,3209,1,1
62221,6599,1,1
52272,34225,1,2
